Bureau ID,Date,Location,Strike ID,Time,Area,Target,Target Group,Westerners involved,Minimum Total Killed,Maximum Total Killed,Number of deaths,AQ/TB Killed,Minimum civilians killed,Maximum civilians killed,Civilians Killed,Min injured,Max injured,Injured,Minimum children killed,Max children killed,Children Killed,Pakistani approval,Short Summary,Long Summary,Related ID,Notes
Ob7,15-Mar-09,Jani Khel,62,30-Dec-99,Bannu Frontier,Taj Ali Khan,,,2,5,2-5,,,,,0,0,,,,,,"2-5 alleged militants killed in Sain Tanga, Janni Khel, Bannu.","At least four people were killed including â€˜two Arabsâ€™ in an attack on â€˜the compound of local militant commander Taj Ali Khanâ€™ or â€˜the house of Haji Awaisâ€™.  Sain Tanga, Janni Khel, Bannu.",,
Ob8,25-Mar-09,Makeen,63,,South Waziristan,Baitullah Mehsud,,,7,8,7-8,,,,,5,5,5,,,,,"7-8 alleged militants killed in attack on cars and house in Maken, South Waziristan.","Up to eight people were killed (six reportedly â€˜Arabs and Uzbeksâ€™), and five wounded in an attack on alleged militants in two cars as they were about to cross a bridge.  The house of Haji Dost Muhammad was also reported destroyed. Maken, South Waziristan.",,
Ob9,26-Mar-09,Sokhel,64,,North Waziristan,Abu Kasha,,,4,5,4-5,,0,5,0-5,5,5,5,,,,,"4-5 militants or civilians killed in strike on house in Sokhel, Mir Ali, North Waziristan.","Up to five people were killed, possibly civilians, and five wounded in an attack on the house of tribal elder Malik Gulab Khan. The intended targets were reportedly Abu Kasha-linked militants. Sokhel, Mir Ali, North Waziristan.",,
Ob10,01-Apr-09,Khadezai,65,,Orakzai Agency,Hakimullah Mehsud,,,12,14,12-14,,5,5,5-9,13,16,13,3,3,3,,"Women and children among 12-14 killed in strike on house in Khadezai, Orakzai Agency.","The compound of â€˜militant TTP commanderâ€™ Maulvi Gul Nazir was attacked in Orakzai Agency (the first known strike there) Gul Nazeerâ€™s wife; daughter-in-law; two sons (Abdullah and Abdul Latif) and a nephew (Mohammad Shoaib) were all killed. Also slain were four or five alleged militants, including Kaka, an al Qaeda operative and three other â€˜Arabsâ€™. The CIA later briefed senior Pakistani officials on the strike (Woodward). Khadezai, Orakzai Agency.",,
Ob11,04-Apr-09,Datta Khel,66,30-Dec-99,North Waziristan,Tariq Khan,,,13,13,13,,8,13,7-13,1,1,,3,5,4,,"At least 7 civilians, and possibly all, of 13 killed in strike on house. Dattakhel, Miramshah, North Waziristan.","Four children and three women were among 13 dead after a strike hit an ammunition store at a Taliban camp, damaging nearby houses. House owner (and possible â€˜militant sympathiserâ€™) Tariq Dawar Khan was also reported killed, along with â€˜a number of foreign militantsâ€™ â€“ though the Taliban said all of the dead were civilians (BBC).  Dattakhel, Miramshah, North Waziristan.",,
Ob12,08-Apr-09,Ganki Khel,67,,South Waziristan,Maulvi Nazir,Nazir,,4,4,4,,,,,4,5,4-5,,,,,"Four alleged militants killed and up to five civilians injured in strike on car and shops, Gangi Khel, Wana, South Waziristan.","An attack on a truck parked near shops killed four alleged militants after its occupants had earlier fired on a drone.  The strike also destroyed two of the nearby shops, wounding five civilians. â€˜They fired several shots at the drone, but failed to hit it. The aircraft fired two missiles, blowing both the vehicles and the militants into pieces,â€™ a senior government official told The News. Gangi Khel, Wana, South Waziristan.",,
Ob13,19-Apr-09,Ganki Khel,68,,South Waziristan,,,,0,8,0-8,,0,8,8,3,5,2-5,0,2,At least 2,,"Up to eight civilians including as many as two children killed in Gangi Khel, Wana, South Waziristan.","Explosives-filled trucks created a fireball when they were struck; destroying a compound owned by brothers Dayam and Waken Khan killing eight civilians (including women and children). The attack came one day after the negotiation of a local cease-fire. Gangi Khel, Wana, South Waziristan.",,
Ob14,29-Apr-09,Kaniguram,69,,South Waziristan,Abu Sulayman al-Jazairi,,,6,10,6-10,1 al-Qaeda,0,4,0-4,4,4,4,,,,,"Named al Qaeda leader and 5-9 others, possibly including civilians, killed in Kaniguram, Wana, South Waziristan.","An attack on a car killed al Qaeda planner Abu Sulayman al-Jazairi (previously reported killed in B16) and up to nine others. A nearby house was badly damaged, and civilians reportedly died. Kaniguram, Wana, South Waziristan.",B17,
Ob15,09-May-09,Tabbi Langhar Khel,70,,South Waziristan,Baitullah Mehsud,,,9,25,9-25,,0,4,Unknown,7,7,7,,,,,"9-25 killed, possibly four civilians, in strike in Tabbi Langhar Khel, South Waziristan.","An attack on an ex-school and vehicle killed up to 25 people. The Taliban claim that only five of its militants were killed. Tabbi Langhar Khel, South Waziristan.",,
Ob16,12-May-09,Sara Khwara,71,,South Waziristan,Baitullah Mehsud,,,8,9,8-9,,,,,4,4,4,,,,,"At least eight alleged militants killed in attack on compound in Sara Khwara, South Waziristan.","Nine killed (including â€˜Taliban and foreign fightersâ€™) in an attack on a compound. CNN reported a Taliban source as saying that it was a training centre 
linked to Baitullah Mehsudâ€™s TTP. Sara Khwara, South Waziristan.",,
Ob17,16-May-09,Khesoor,72,30-Dec-99,North Waziristan,,,,25,40,25-40,,9,9,9,,,Unknown,,,,,"At least 25 people, including nine civilians, killed in a strike on house and rescuers in Kaisore, Miram Shah, North Waziristan.","Up to 40 people, mostly  Pakistani militants, were reported killed in a double attack on the house of Hikmat Roshan. A nearby madrasa was also badly damaged. Two Arabs were reported among dead, including Asad al-Misri. In the first such recorded instance, drones returned to fire on rescuers. The News quoted a local militant commander: â€˜They were recovering bodies of the slain militants when the drone fired two more missiles, almost 12 minutes after the first attack. It was terrible as almost all the Taliban involved in rescue work were targetedâ€¦ We lost very trained and sincere friends. Some of them were very senior Taliban commanders and had taken part in successful actions in Afghanistan. Bodies of most of them were beyond recognition.â€™  Kaisore, Miram Shah, North Waziristan.",,
Ob18,14-Jun-09,Marda Algad,74,,South Waziristan,Baitullah Mehsud,,,3,5,3-5,,,,,,,,,,,,3-5 alleged militants killed in strike on truck in Ladha South Waziristan.,"Up to five alleged militants, reported as Pakistani and â€˜foreignâ€™, were killed in a strike on a truck, according to the Taliban. Two â€˜spiesâ€™, Sher Nawab and Anwar Khan, were later killed in retaliation for the attack. Ladha South Waziristan.",,
Ob19,18-Jun-09,Wana,75,30-Dec-99,South Waziristan,Maulvi Nazir; Malang Wazir,Nazir,,12,14,12-14,,4,4,4,10,10,10,,,,,"12-14 killed, including 10 civilian rescuers, in double strike in Shah Alam, Wana, South Waziristan.","Up to 13 people were killed and several wounded in a double strike. Two died in the first attack, then ten rescuers were killed when a drone returned. Shah Alam, Wana, South Waziristan.",,
Ob20,18-Jun-09,Raghzai,76,,South Waziristan,Malang Wazir,,,0,0,Unknown,,,,,,,,,,,,"Strike with unknown casualty figures in Raghzai area, near Wana, South Waziristan.","A strike was reported by â€˜local security sourcesâ€™ on an alleged militant training centre. The impact is unknown. Raghzai area, near Wana, South Waziristan.",,
Ob21,23-Jun-09,Makeen,77,,South Waziristan,Niaz Wali,,,6,6,6,,,,,7,7,7,,,,,"Named TTP commander among six killed in a strike on Makeen, South Waziristan","An attack against an alleged Baitullah Mehsud camp killed seven militants including local TTP commander Niaz Wali or Khwaz Ali. A further seven were wounded. See Ob23.  Makeen, South Waziristan.",Ob22,
Ob22,23-Jun-09,Miram Shah,78,,North Waziristan,,Pakistan Taliban,,67,83,67-83,,18,50,18-45,27,27,27,10,10,10,,"67-83 killed (including 18-45 civilians) in a strike on a funeral in Makeen, South Waziristan.","Drones returned during the funeral of Niaz Wali, at which an estimated 5,000 were present. They killed up to 83 people, including 18-45 civilians (among them ten children and four tribal leaders.) The dead were buried in a mass grave. Taliban leaders Maulvi Bilal, Khushdel and Shabir Khan were killed. The intended target, TTP leader Baitullah Mehsud, escaped. Makeen, South Waziristan.",,
Ob23,03-Jul-09,Mantoi,79,,South Waziristan,,Pakistan Taliban,,0,5,0-5,,0,5,0-5,,,,,,,,"An attack on a closed madrassa â€˜occasionally used by the TTPâ€™ killed either three, five or no people. Mantoi, South Waziristan.","An attack on a closed madrassa â€˜occasionally used by the TTPâ€™ killed either three, five or no people. Mantoi, South Waziristan.",,
Ob24,03-Jul-09,Zamarai Nairai,80,,South Waziristan,,Pakistan Taliban,,13,17,13-17,,,,,27,35,27-35,,,,,"13-17 alleged militants killed and 27-35 injured in strike on compound in Kokat Khel, South Waziristan.","An attack on a suspected training facility (or offices) run by TTP commander Noor Wali killed up to 17 alleged militants and injured as many as 35. Kokat Khel, South Waziristan.",,
Ob25,07-Jul-09,Makeen,81,,South Waziristan,,Pakistan Taliban,,16,18,16-18,,,,,10,10,10,,,,,"16-18 alleged militants killed in strike on compound in Jangara, Makeen, South Waziristan.","An attack on an alleged TTP training camp killed sixteen people (among them five â€˜foreignersâ€™) and injured a further ten. Jangara, Makeen, South Waziristan.",,
Ob26,08-Jul-09,Ladha,82,,South Waziristan,,Pakistan Taliban,,8,10,8-10,,,,,5,12,12,,,,,"8-10 alleged TTP militants killed in strike on camp in Laddha, Karwan Manza South Waziristan.","An alleged TTP training camp in a forested area was attacked and up to ten people were reported killed, (including three â€˜Punjabi Talibanâ€™) with a dozen injured. One source describes the attack as being on the funeral of Laiq Marjan. Laddha, Karwan Manza South Waziristan.",,
Ob27,08-Jul-09,Ladha,83,,South Waziristan,,Pakistan Taliban,,35,40,35-40,,,,,1,1,'Some',,,,,"35-40 alleged militants killed when convoy destroyed in  Laddha, Karwan Manza, South Waziristan.","A five-vehicle convoy was destroyed and up to forty alleged â€˜TTP and Punjabi militantsâ€™ were killed. Four Arabs and seven Uzbeks were reported among the dead by one source.  Laddha, Karwan Manza, South Waziristan.",,
Ob28,10-Jul-09,Painda Khel,84,,South Waziristan,,Pakistan Taliban,,3,5,3-5,,,,,3,3,3,,,,,"3-5 alleged militants killed in strike on â€˜communications centreâ€™ in Painda, South Waziristan.","A reputed TTP communications centre was attacked, killing up to five people and injuring three. Painda, South Waziristan.",,
Ob29,17-Jul-09,Gariwam,86,,North Waziristan,,,,5,6,5-6,,,,,4,6,4,,,,,"5-6 alleged TTP militants killed in strike on house in Gariwam, North Waziristan.","An attack on a house allegedly linked to the TTP and owned by local cleric Maulana Abdul Majeed was destroyed, killing up to six people and wounding four. Gariwam, North Waziristan.",,
Ob30,05-Aug-09,Ladha,87,,South Waziristan,Baitullah Mehsud,,,2,12,2-12,,1,4,0-4,5,5,5,,,,,"Named TTP leader dies with at least one other, in strike on Zanghara, South Waziristan.","The CIA fatally wounded TTP leader Baitullah Mehsud after multiple previous attempts. President Obama personally authorised the attack (CNN). Eleven others also died, including Mehsudâ€™s second wife, his uncle, father-in-law Mulvi Ikramuddin and mother-in-law, and seven bodyguards. Four children were also injured. According to Joby Warrick (The Triple Agent) the initial CIA summary sent to Leon Panetta at the White House made no mention of other casualties: â€˜Two confirmed dead, no other deaths or serious injuries. Building still stands.â€™ Warrick told the Bureau that US officials continue to insist that only two died in the attack. The New Yorker later disclosed the existence of a CIA video of the strike, quoting a â€˜senior security officialâ€™ who had seen the film:

He was clearly visible with his wifeâ€¦His torso remained, while half of the body was blown up.â€™",,
Ob31,11-Aug-09,Ladha,88,,South Waziristan,,,,14,25,14-25,,0,6,0-6,5,7,5,4,4,4,,"14-25 killed in strike on â€˜Taliban suicide bomber training campâ€™ in  Saam, near Ladha, South Waziristan.","A Taliban teenage suicide bomber training camp was attacked, according to survivor Arshad Khan, killing 14-25 and injuring five people.  Among the dead were four named teenagers:   Ibadullah, Arif, Abdul Qadeer and Hazrat Ali. The Taliban claimed that only six women and children were killed. Saam, near Ladha, South Waziristan.",,
Ob32,21-Aug-09,Danda Darpakhel,89,30-Dec-99,North Waziristan,,Haqqani,,17,21,17-21,,9,13,9-21,2,2,At least 2,6,6,6,,"At least 9 civilians including 6 children among 17-21 killed in strike on houses and madrassa in Danda Darpakhel, North Waziristan.","Twenty one people were killed, including three women and six children (including Syed Wali Shah), in an attack on a madrassa linked to Siraj Haqqani. Five houses were destroyed, and no rescue was attempted because of the continuing presence of drones. The father of one dead child later told photographer Noor Bekhram: â€˜We had no idea of what was happening or why. We heard a blast at around 2.30 in the morning, and then part of a missile hit our house in the courtyard where the whole family was sleeping.â€™ Danda Darpakhel, Miranshah, North Waziristan.",,
Ob33,27-Aug-09,Taparghai,90,,South Waziristan,,,,8,10,8-10,,,,,6,9,6,,,,,"Named militant leader killed with at least seven others in strike on house in Tapar Ghai, Kanigram, South Waziristan.","Uzbek militant leader Tahir Yuldashev was killed with seven others in an attack on the house of Azam Khan Mehsud. The IMU group denied Yuldashevâ€™s death for more than a year before finally admitting it. Tapar Ghai, Kanigram, South Waziristan.",,
Ob34,07-Sep-09,Machi Khel,91,,North Waziristan,,,,5,8,5-8,,3,3,3,2,7,2-7,,,,,Three civilians among 5-8 killed in a failed strike on senior al Qaeda leader Ilyas Kashmiri.,"Senior al Qaeda leader Ilyas Kashmiri was â€˜killedâ€™ (he also reportedly died in May 2011) along with up to five alleged militants including possibly Nazim-ud-Din Khilalof of the IMU. Three members of a family also died. Survivor Sadaullah Wazir, who lost both legs, and an eye in the attack, later launched a lawsuit against the CIA. His wheelchair-bound uncle Mautullah Jan and his two cousins Sabir-ud-Din and Kadanullah Jan were killed. Ajman ullah was also injured. Machi Khel, Mir Ali, North Waziristan.",Ob218,
Ob35,08-Sep-09,Darga Mandi,92,,North Waziristan,,,,10,15,10-15,,5,5,5,4,4,4,3,3,3,,"10-15 killed including three civilians in strike on house in Dargmandi, Miram Shah, North Waziristan.","Up to fifteen people were killed at an alleged Taliban compound, run by militant Maulvi Taib Shah (possibly killed). Three children and two women were reported among the dead (Dawn). Dargmandi, Miram Shah, North Waziristan.",,
Ob36,14-Sep-09,Toorikhel,93,,North Waziristan,,,,5,5,5,,,,,2,3,2,,,,,Five killed including including Islamic Jihad Union leader Najmiddin Kamolitdinovic Jalolov in a strike on a vehicle.,"An attack destroyed a car in an explosion that was heard 15 miles away. Five people died including Islamic Jihad Union leader Najmiddin Kamolitdinovic Jalolov, aka Yahyo. Al Qaedaâ€™s Ilyas Kashmiri was wrongly claimed killed for the second time in a week.  Toori Khel, North Waziristan.",,
Ob37,24-Sep-09,Mir Ali,94,,North Waziristan,,,,10,12,10-12,,0,12,Unknown,5,5,5,,,,,"Strike kills 10-12, possibly including civilians, in Mir Ali, North Waziristan.","An attack on an alleged Haqqani Network compound killed up to twelve and injured five. A local intelligence official told The Nation: â€˜The building acted as an office where Taliban militants would come to receive orders and rest between bouts of fighting across the border in Afghanistan.â€™  Residents reported that civilians who had been sleeping outside the house were also killed in the attack (Dawn). Mir Ali, North Waziristan.",,
Ob38,29-Sep-09,Sararogha,95,30-Dec-99,South Waziristan,,,,5,6,5-6,,,,,6,6,6,,,,,"5-6 alleged militants killed in strike on house in Sararogha, South Waziristan.","An attack allegedly on the TTP leaderâ€™s brother, Kalimullah Mehsud, killed five and injured six. Some reports state he died in the attack â€“ whilst others claim he was killed that day by Pakistan forces. Yet others say the target was actually Irfan Mehsud. Three â€˜Uzbek militantsâ€™ were also reported among the dead.   Sararogha, South Waziristan.",,
Ob39,29-Sep-09,Danda Darpakhel,96,30-Dec-99,North Waziristan,,Haqqani,,4,9,4-9,,0,4,,2,6,6,,,,,"At least four alleged Haqqani militants killed in strike on house in Danda Darpakhel, North Waziristan.","An attack on an alleged Haqqani Network facility â€“ the house of â€˜Mustafaâ€™, an Afghan national and reported militant â€“ killed seven and injured six. Danda Darpakhel, North Waziristan.",,
Ob40,30-Sep-09,Norak,97,,North Waziristan,,Taliban,,8,9,8-9,,,,,4,5,4-5,,,,,"8-9 alleged militants killed in strike on cars and house in Norak, Miransha, North Waziristan.","Up to nine alleged militants were reported killed including â€˜three Arabs, three Pakistanis a Chechen and an Uzbekâ€™ in an attack on two vehicles and a compound. Norak, Miransha, North Waziristan.",,
Ob41,15-Oct-09,Danda Darpakhel,98,,North Waziristan,,Haqqani,,3,4,3-4,,,,,7,7,7,,,,,"3-4 alleged militants killed in strike on house in Danda Darpakhel, North Waziristan.","A pre-dawn attack on a suspected Haqqani Network compound â€“ a house owned by an â€˜Afghan refugeeâ€™ - killed four and injured seven. The dead were reported to be part of the Ghaznavi group of the Haqqani Network. Danda Darpakhel, North Waziristan.",,
Ob42,21-Oct-09,Spalaga,99,,North Waziristan,,,,3,3,3,,,,,8,8,8,,,,,"Al Qaeda explosives expert Abu Musa al-Masri and 2 others killed in strike in Spalaga, North Waziristan.","Al Qaeda explosives expert Abu Musa al-Masri was reportedly killed with two others. The attack, coming at the start of a Pakistan military offensive in South Waziristan, was hushed up for fear of unravelling a local Taliban ceasefire.  â€˜It hit territory controlled by Hafiz Gul Bahadur, a militant leader the army has coaxed into remaining neutral during the offensive against the Mehsud faction in South Waziristan.â€™ (Fox News). AP reported that two young girls were also injured in the attack: Sameeda Gul, 6, hurt in her right leg, and Fatima Gul, 4, with head injuries.  â€˜ Neither injury appeared to be life-threateningâ€™. Spalaga, North Waziristan.",,
Ob43,24-Oct-09,Damadola,100,,Bajaur Agency,,Pakistan Taliban,,20,27,20-27,,,,,8,8,8,,,,,"20-27 alleged militants killed in strike on compound in Damadola, Bajaur Agency.","An attack near the home of TTP deputy leader Maulvi Faqir reportedly missed him by minutes. Taliban leaders had allegedly gathered for a meeting. The strike killed 22-27 people (including Faqirâ€™s nephew Zahid and son-in-law, and â€˜three foreign militantsâ€™) and injured eight. Damadola, Bajaur Agency.",,
Ob44,05-Nov-09,Norak,101,30-Dec-99,North Waziristan,,,,4,6,4-6,,,,,8,8,8,,,,,"4-6 alleged militants killed in strike on house in Norak, Mir Ali, North Waziristan.","The home of local â€˜militantâ€™ or â€˜tribesmanâ€™ Musharaf Gul was bombed, killing up to six and injuring eight. Norak, Mir Ali, North Waziristan.",,
Ob45,18-Nov-09,Shanakorah,102,,North Waziristan,,,,3,6,3-6,,,,,3,5,5,,,,,"3-6 alleged militants killed in strike on house in Shanakhora, Miranshah, North Waziristan.","A strike on an alleged â€˜militant hideoutâ€™ killed up to six people and wounded five. One source identified 
Salah al-Somali (status unknown) as the target and said that three â€˜foreignersâ€™ were killed. Shanakhora, Miranshah, North Waziristan.",,
Ob46,20-Nov-09,Machi Khel,103,,North Waziristan,,,,3,10,3-10,,3,3,3,2,12,2-12,1,1,1,,"Three civilians, including one child, killed in a strike on a â€˜training compoundâ€™ in Machi Khel, North Waziristan.","Up to ten alleged militants were killed and as many as a dozen wounded in an attack on a â€˜training compoundâ€™. Some â€˜foreignersâ€™ may have been among the dead. Machi Khel, North Waziristan.",Ob52,
Ob47,08-Dec-09,Spalaga,104,,North Waziristan,,,,4,4,4,,,,,3,3,3,,,,,"Al Qaeda planner Said al-Somali among four killed in strike on car in Miran Shah, North Waziristan.","Al Qaeda planner Said al-Somali was killed with three others (two reported as Saudis), and three people were injured (possibly nearby civilians), in an attack on a car. Up to seven drones were reportedly involved. A suicide attack on a CIA base three weeks later was in part â€˜revengeâ€™ for Somaliâ€™s death, al Qaeda later claimed. Aspalga, Miran Shah, North Waziristan.",,
Ob48,10-Dec-09,Ladha,288,,South Waziristan,,,,6,6,6,,,,,8,8,8,,,,,"Six alleged militants killed in strike on â€˜hide-outâ€™ in Laddha, South Waziristan.","A previously unreported strike killed six - including four â€˜foreignersâ€™ â€“ and injured eight. Sensitivities during ongoing Pakistan Army operations in South Waziristan may have been responsible for the assertion by the Armyâ€™s spokesman that â€˜No Predator drone strike has taken place todayâ€™. Laddha, South Waziristan.",,
Ob49,17-Dec-09,Datta Khel,105,30-Dec-99,North Waziristan,,al-Qaeda,,2,2,2,,,,,,,Unknown,,,,,"2 alleged militants killed in car in Gadda Maramay, Datta Khel, North Waziristan.","Two alleged militants were killed in a 4am attack on a car that also damaged three nearby houses and a mosque. Two other people later died of their injuries. A first missile may have missed its target, enabling some suspects to escape. Gadda Maramay, Datta Khel, North Waziristan.",,
Ob50,17-Dec-09,Ambar Shaga,106,,North Waziristan,,,,12,16,12-16,1-6 al-Qaeda,6,6,6,,,Unknown,,,,,"2 named al Qaeda commanders among 13-15 alleged militants killed in Amboor Shagal, North Waziristan.","An attack with five drones destroyed two houses and two cars. Up to fifteen alleged militants (reportedly six Al Qaeda and nine Haqqani Network) were killed including â€œwell known al Qaeda commandersâ€ Abdullah Said al Libi and Zuhaib al-Zahibi. There were some claims that the ultimate, unsuccesful target was Osama bin ladenâ€™s brother in law Sheikh Saeed al Saudi. Amboor Shagal, North Waziristan.",,
Ob51,18-Dec-09,Babrak Ziarat,107,,North Waziristan,,,,5,8,5-8,,5,5,5,5,5,5,,,,,"5-8 killed at funeral prayers for victims of Ob49, Wazgai, Datta Khel, North Waziristan.","An attack on alleged Taliban attending funeral prayers for the victims of Ob49 killed up to eight (among them â€˜Punjabi militantsâ€™) and injured five. One report stated that the tents of Afghan nomads were also struck â€“ with casualties unknown. Wazgai, Datta Khel, North Waziristan.",,
Ob52,26-Dec-09,Saidgai,108,,North Waziristan,,,,14,20,14-20,,6,6,6,12,12,12,,,,,"14 Taliban killed and 12 injured in strike on house in Saigdai, North Waziristan.","Local Taliban commander Abdur Rehman Wazir was (again) reported killed in a strike that killed up to thirteen more Taliban and injured a dozen as they ate dinner. The home of Asmatullah was destroyed. A Taliban commander later told The News: â€˜We lost 14 of our dear colleagues. They were all locals.â€™  One unpublished report claims that six members of one family may also have died. Saigdai, North Waziristan.",,
Ob53,31-Dec-09,Machi Khel,109,30-Dec-99,North Waziristan,,,,3,7,3-7,,3,3,3,2,2,2,1,1,1,,"Three civilians, including one child, among up to seven killed in a strike on a Taliban commander.","North Waziristan Taliban commander Haji Omar was reported killed along with up to six others people, some of them civilians.  Journalist Karim Khan, said by some to be â€˜close to militantsâ€™ was the owner of the house. His 17-year old son Zaenullah Khan, brother Asif Iqbal and a local stonemason died. Karim Khan later sued the CIA. Mir Ali, North Waziristan.",B37,
Ob54,01-Jan-10,Ghundikala,136,30-Dec-99,North Waziristan,,,,3,3,3,,,,Unknown,3,4,3-4,,,,,"3 alleged militants killed when car destroyed in Ghundikala, North Waziristan.","Three alleged militants killed and up to four people injured when a car is destroyed in Ghundikala, North Waziristan.",,
Ob55,03-Jan-10,Mosaki,137,,North Waziristan,,,,5,5,5,,1,2,1-2,2,2,2,1,1,1,,"Five killed including 1-2 civilians, in attack on house and car in Mosaki, North Waziristan.","A house and car were destroyed, killing five including up to three â€˜Arabsâ€™, local teacher Sadiq Noor (allegedly linked to militants) and his 9-year old son Wajid. in Mosaki, North Waziristan.",,
Ob56,06-Jan-10,Sanzali,138,30-Dec-99,North Waziristan,Hafiz Gul Bahadur,,,5,7,5-7,,0,6,0-6,5,5,5,,,,,"5-7 killed, possibly including civilians, in strike on house in Datta Khel, North Waziristan.","Up to seven people are killed (possibly two â€˜foreignersâ€™ among them) and five injured in an initial strike on an alleged militant compound.  A local official is 'unclear if dead are civilians or militants'. Datta Khel, North Waziristan.",,
Ob57,06-Jan-10,Sanzali,139,30-Dec-99,North Waziristan,,,,5,9,5-9,,5,5,5,3,3,3,,,,,"Up to nine rescuers killed in attack on house in Datta Khel, North Waziristan.","Up to nine rescuers (described as either villagers or militants) attacked as they searched the rubble of a house for survivors of Ob55. Datta Khel, North Waziristan.",,
Ob58,08-Jan-10,Tappi,140,30-Dec-99,North Waziristan,Hafiz Gul Bahadur,,,5,5,5,,5,5,5,3,3,3,1,1,At least 1,,"Three year old girl killed along with five suspected militants in attack on houses, Tappi, North Waziristan.","A house and vehicle were destroyed and five alleged militants of Hafiz Gul Bahadurâ€™s faction were killed, with three injured. The family of one house is attempting to sue the CIA for the wrongful killing of 3- year old Ayeesha, killed by shrapnel. Tappi, North Waziristan.",,
Ob59,09-Jan-10,Ismail Khel,141,,North Waziristan,,,,4,5,4-5,"1 al-Qaeda, 1 other",,,,5,5,5,,,,,"Two named militants killed with at least two others in attack on house in Ismail Khel, North Waziristan.","Palestinian Jamal Saeed Abdul Rahim â€“ linked to a deadly 1986 air hijack â€“ was killed with up to four others including al Qaeda bodyguard Mansur al Shami. Ismail Khel, North Waziristan.",,
Ob60,09-Jan-10,Shaktoi,142,,North Waziristan,,,,15,18,15-18,,,,Unknown,7,14,7-14,,,,,"Failed attack on TTP leader Hakimullah Mehsud kills 15-18 in Shaktoi, North Waziristan.","Pakistan Taliban (TTP) leader Hakimullah Mehsud and Al Qaeda bomb maker Abdul Basit Usman (linked to December 2009 attack on CIA base in Afghanistan) allegedly killed with up to 16 others. Both later emerge alive â€“ Mehsud seen in a 2011 video http://tribune.com.pk/story/121193/taliban-video-solves-two-mysteries/. Shaktoi, North Waziristan.",,
Ob61,15-Jan-10,Zanani,143,30-Dec-99,North Waziristan,,,,5,5,5,,,,Unknown,3,3,3,,,,,"Five alleged militants killed in attack on house in Zanani, North Waziristan.","The house of Munawar Jan was destroyed and five alleged militants including a 'foreigner' were killed with three people injured. Zanani, North Waziristan.",,
Ob62,15-Jan-10,Shaktoi,144,,North Waziristan,,,,6,10,6-10,,,,Unknown,,,Unknown,,,,,"TTP commander Azmatullah Mawiya among five killed in Shaktoi, North Waziristan.","Six people were killed in a late night strike on a house. TTP commander Azmatullah Mawiya was reportedly among the dead. Shaktoi, North Waziristan.",,
Ob63,17-Jan-10,Shaktoi,145,,North Waziristan,,Pakistan Taliban,,20,20,At least 20,,,,Unknown,4,4,4,,,,,"Four named TTP commanders among at least 20 killed in attack on house in Shaktoi, North Waziristan.","An attack on a Pakistan Taliban commandersâ€™ meeting being held at the home of Pir Gul fails to kill Hakimulah Mehsud.  At least 20 people were killed, including â€˜TTP local commandersâ€™ Shahidullah, Hafiz Nizamuddin Storikhel, Khwarey and Mohtaj.  Shaktoi, North Waziristan.",,
Ob64,19-Jan-10,Deegan,146,30-Dec-99,North Waziristan,Hafiz Gul Bahadur,,,5,6,5-6,,,,Unknown,4,4,4,,,,,"At least five alleged militants killed in strike on house and car in Deegan, North Waziristan.","An evening attack on a house and vehicle kills six suspected militants linked to Hafiz Gul Bahadur in Deegan, North Waziristan.",,
Ob65,29-Jan-10,Mohammad Khel,147,,North Waziristan,,Haqqani,,9,15,9-15,,,,Unknown,4,4,4,,,,,"9-15 alleged militants killed in strike on compound in Muhammad Khel, North Waziristan.","Between nine and fifteen people are killed in an attack on a house/ compound. The dead including four Arabs, two Uzbeks and local militants linked to the Haqqani Network, itâ€™s alleged. Muhammad Khel, North Waziristan.",,
Ob66,02-Feb-10,Deegan,148,,North Waziristan,,,,23,23,Estimated 23 (possibly spread amongst Ob66-68),,,,Unknown,,,,,,,,A drone swarm attacks compound killing 23 alleged militants across three strikes.,"As many as eight drones cluster for a mass strike to kill Sirajudin Haqqani (who is not there) â€“ firing 19 missiles between them. A house was attacked and up to 23 killed in the first of four linked strikes. Daigan, Datta Khel area, North Waziristan.",,
Ob67,02-Feb-10,Mohammad Khel,149,,North Waziristan,,,,0,0,Unknown,,,,Unknown,,,Unknown,,,,,A strike reportedly targets locals firing on a nearby swarm of drones. Casualties unknown.,"A linked strike reportedly attacks locals firing on a nearby swarm of drones. Casualties unknown. Muhammad Khel, North Waziristan.",,
Ob68,02-Feb-10,Pai Khel,150,,North Waziristan,,,,9,9,9,,5,5,5,,,Unknown,,,,,"Five civilians reportedly among nine killed as they drive to sites of previous attacks. Pai Khel, North Waziristan.","Nine people are killed in two vehicles driving to the sites of previous attacks. Locals say all those killed are civilians. Pai Khel, North Waziristan.",,
Ob69,02-Feb-10,Toor Narai,151,,North Waziristan,,,,0,0,Unknown,,,,Unknown,,,Unknown,,,,,"Attack on village, casualties unknown. Toor Narai, North Waziristan.","In the last of four linked strikes, with casualties unknown, the village of Toor Narai is hit.",,
